ResumeID,Age,EducationLevel,FieldOfStudy,Domain,JobAppliedFor,SkillsListed,JobPostingSkillsRequired,ExperienceYears,Certifications,Shortlisted,Hired,AI_MatchScore,TopSkillGap,ResumeStyle,GenZ_Trait_Tags
R016,23,Bachelor's,Finance,Technology,DevOps Engineer,"Excel, HTML, Photoshop","Illustrator, GitHub, Photoshop, HTML, Excel",2.3,"None, Coursera SQL",0,0,82,Illustrator,ATS-friendly,"Side Hustler, Remote-ready"
R017,23,Master's,Design,Design,Visual Designer,"Photoshop, Illustrator","Figma, Photoshop, Illustrator, Webflow, Canva",2.4,"None, Google UX Cert",0,1,59,Figma,Visual,"Trend-savvy, Remote-ready"
R018,26,Master's,Life Sciences,Finance,Investment Associate,"Canva, React, Webflow, PubMed","PubMed, Webflow, React, Canva, CSS",2.6,"Google UX Cert, Coursera SQL",0,1,76,CSS,Minimalist,"Multi-tasker, Digital Native"
R019,26,Master's,Computer Science,Healthcare,Medical Writer,"Literature Review, Research, PubMed, Medical Writing","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",2.9,"Coursera SQL, None",1,1,60,Clinical Trials,Infographic,"Digital Native, Fast Learner"
R020,26,Master's,Finance,Finance,Risk Analyst,"Research, Clinical Trials, Finance Modelling","Clinical Trials, Excel, Research, Literature Review, Finance Modelling",1.7,"None, Google Data Analytics",1,1,80,Literature Review,Visual,"Data-curious, Trend-savvy"
R021,24,Master's,Design,Healthcare,Pharma Sales Rep,"Illustrator, Figma, Literature Review","Figma, Illustrator, Literature Review, Google Ads, Canva",2.3,"None, Meta Ads",0,0,87,Canva,Minimalist,"Fast Learner, Digital Native"
R022,25,Master's,Life Sciences,Finance,Financial Analyst,"Finance Modelling, SQL, Tableau, Python, Excel","Excel, SQL, Tableau, Finance Modelling, Python",2.3,"Meta Ads, Coursera SQL",0,0,69,None,Visual,"Multi-tasker, Side Hustler"
R023,23,Master's,Business,Business,Marketing Analyst,"SQL, Google Ads, Canva, SEO","Excel, Google Ads, SQL, Canva, SEO",2.3,"Meta Ads, Coursera SQL",1,0,78,Excel,Infographic,"Remote-ready, Curious"
R024,22,Master's,Computer Science,Design,Visual Designer,"Photoshop, Illustrator, Figma, Webflow","Figma, Photoshop, Illustrator, Webflow, Canva",1.7,"Google Data Analytics, Coursera SQL",1,0,66,Canva,Minimalist,"Side Hustler, Digital Native"
R025,25,Master's,Computer Science,Healthcare,Medical Writer,"Literature Review, Medical Writing, PubMed, Research, Clinical Trials","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",0.7,"Meta Ads, Coursera SQL",0,0,74,None,Visual,"Remote-ready, Fast Learner"
R026,26,Master's,Computer Science,Technology,Data Analyst,"Finance Modelling, Excel","SQL, Finance Modelling, Google Ads, Excel, Clinical Trials",2.0,"Coursera SQL, Google UX Cert",0,1,61,SQL,Minimalist,"Data-curious, Trend-savvy"
R027,23,Bachelor's,Computer Science,Design,Product Designer,"JavaScript, GitHub, Research","CSS, Python, GitHub, JavaScript, Research",2.2,"Meta Ads, Google Data Analytics",0,1,69,CSS,Infographic,"Fast Learner, Data-curious"
R028,26,Bachelor's,Business,Healthcare,Medical Writer,"Research, PubMed, Literature Review, Clinical Trials","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",2.0,"Google Data Analytics, Google UX Cert",0,1,59,Medical Writing,Minimalist,"Digital Native, Fast Learner"
R029,23,Bachelor's,Life Sciences,Design,Visual Designer,"Figma, Illustrator, Canva, Webflow","Figma, Photoshop, Illustrator, Webflow, Canva",2.2,"Coursera SQL, None",0,1,92,Photoshop,Minimalist,"Fast Learner, Remote-ready"
R030,24,Bachelor's,Life Sciences,Finance,Investment Associate,"CSS, SQL, JavaScript","SQL, CSS, Tableau, JavaScript, Python",0.8,"Google Data Analytics, Coursera SQL",0,1,76,Tableau,ATS-friendly,"Data-curious, Curious"
R031,25,Bachelor's,Finance,Technology,Frontend Developer,"GitHub, HTML, JavaScript, React","HTML, CSS, JavaScript, React, Tailwind, GitHub",1.3,"Coursera SQL, None",0,1,80,Tailwind,Visual,"Fast Learner, Side Hustler"
R032,21,Master's,Design,Business,Marketing Analyst,"SEO, Canva, Google Ads","Excel, Google Ads, SQL, Canva, SEO",1.5,"Coursera SQL, None",0,1,84,SQL,Visual,"Trend-savvy, Remote-ready"
R033,22,Bachelor's,Computer Science,Finance,Investment Associate,"SQL, Excel, Tableau, Canva","Medical Writing, Canva, Excel, Tableau, SQL",1.7,"Meta Ads, Google Data Analytics",1,0,81,Medical Writing,Minimalist,"Trend-savvy, Remote-ready"
R034,25,Bachelor's,Business,Technology,Backend Developer,"Tailwind, Webflow","Finance Modelling, Excel, Photoshop, Webflow, Tailwind",2.9,"Google UX Cert, Google Data Analytics",1,0,71,Finance Modelling,ATS-friendly,"Trend-savvy, Multi-tasker"
R035,23,Master's,Computer Science,Healthcare,Clinical Researcher,"Canva, Clinical Trials, SQL, GitHub, Tailwind","Canva, GitHub, SQL, Tailwind, Clinical Trials",2.3,"Google Data Analytics, None",0,1,69,None,ATS-friendly,"Curious, Digital Native"
R036,22,Bachelor's,Business,Healthcare,Medical Writer,"Research, Clinical Trials","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",0.7,"None, Google UX Cert",0,1,66,PubMed,Infographic,"Digital Native, Trend-savvy"
R037,22,Bachelor's,Life Sciences,Healthcare,Clinical Researcher,"Clinical Trials, PubMed, Python","PubMed, Clinical Trials, Literature Review, Python, SQL",2.5,"Meta Ads, Google UX Cert",1,0,59,SQL,Infographic,"Curious, Multi-tasker"
R038,25,Bachelor's,Finance,Healthcare,Medical Writer,"Medical Writing, Research, Clinical Trials","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",0.7,"Google UX Cert, Google Data Analytics",1,1,62,PubMed,Visual,"Data-curious, Fast Learner"
R039,24,Bachelor's,Life Sciences,Technology,DevOps Engineer,"Figma, GitHub","SEO, Photoshop, Figma, GitHub, Finance Modelling",1.2,"Google Data Analytics, Google UX Cert",0,1,76,SEO,ATS-friendly,"Fast Learner, Side Hustler"
R040,21,Bachelor's,Business,Finance,Risk Analyst,"Figma, HTML, Illustrator","Canva, HTML, Photoshop, Illustrator, Figma",2.1,"None, Google Data Analytics",0,0,84,Canva,Infographic,"Curious, Multi-tasker"
R041,23,Bachelor's,Computer Science,Finance,Financial Analyst,"Python, SQL, Tableau, Excel","Excel, SQL, Tableau, Finance Modelling, Python",2.4,"Google UX Cert, Google Data Analytics",0,0,71,Finance Modelling,Minimalist,"Side Hustler, Digital Native"
R042,26,Bachelor's,Computer Science,Healthcare,Medical Writer,"Medical Writing, Research, Literature Review, Clinical Trials","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",0.9,"Google Data Analytics, Coursera SQL",1,1,63,PubMed,Visual,"Remote-ready, Digital Native"
R043,24,Bachelor's,Business,Design,Visual Designer,"Illustrator, Photoshop","Figma, Photoshop, Illustrator, Webflow, Canva",2.2,"Google Data Analytics, Meta Ads",0,1,76,Figma,Infographic,"Curious, Data-curious"
R044,23,Bachelor's,Life Sciences,Business,Sales Associate,"Finance Modelling, Webflow, Medical Writing, Photoshop","Webflow, Finance Modelling, Literature Review, Photoshop, Medical Writing",1.1,"Google Data Analytics, None",0,1,83,Literature Review,Minimalist,"Fast Learner, Data-curious"
R045,22,Bachelor's,Computer Science,Business,Business Analyst,"SQL, Canva","JavaScript, Research, SQL, Canva, Webflow",0.9,"Google UX Cert, Coursera SQL",0,1,85,Webflow,Infographic,"Trend-savvy, Side Hustler"
R046,23,Bachelor's,Design,Design,Visual Designer,"Photoshop, Illustrator, Figma","Figma, Photoshop, Illustrator, Webflow, Canva",0.8,"None, Meta Ads",1,1,85,Webflow,Visual,"Multi-tasker, Digital Native"
R047,26,Bachelor's,Finance,Healthcare,Medical Writer,"Research, Medical Writing","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",2.1,"Google Data Analytics, Google UX Cert",0,0,68,PubMed,Infographic,"Curious, Multi-tasker"
R048,25,Master's,Finance,Healthcare,Pharma Sales Rep,"Literature Review, Excel, Photoshop, Figma, Google Ads","Excel, Google Ads, Literature Review, Figma, Photoshop",2.2,"Meta Ads, Google Data Analytics",0,1,80,None,Visual,"Trend-savvy, Multi-tasker"
R049,24,Master's,Finance,Technology,Frontend Developer,"HTML, Tailwind, React, JavaScript, GitHub, CSS","HTML, CSS, JavaScript, React, Tailwind, GitHub",2.6,"None, Coursera SQL",0,0,66,None,Visual,"Curious, Multi-tasker"
R050,24,Bachelor's,Life Sciences,Finance,Investment Associate,"CSS, Tableau, Clinical Trials, Illustrator, Excel","Clinical Trials, Illustrator, CSS, Excel, Tableau",2.7,"None, Google UX Cert",1,1,91,None,Infographic,"Side Hustler, Data-curious"
R051,25,Bachelor's,Computer Science,Finance,Risk Analyst,"CSS, Tailwind","Excel, Tailwind, CSS, Medical Writing, Google Ads",2.4,"Meta Ads, Google Data Analytics",0,1,76,Excel,Visual,"Multi-tasker, Curious"
R052,21,Bachelor's,Business,Technology,DevOps Engineer,"Literature Review, Google Ads, Tableau, Tailwind","Google Ads, Literature Review, Tailwind, Tableau, Finance Modelling",1.4,"Google Data Analytics, Meta Ads",0,1,73,Finance Modelling,Visual,"Digital Native, Trend-savvy"
R053,23,Bachelor's,Life Sciences,Business,Sales Associate,"GitHub, Tailwind","GitHub, CSS, Canva, Literature Review, Tailwind",1.4,"None, Coursera SQL",0,1,58,Literature Review,Minimalist,"Trend-savvy, Data-curious"
R054,22,Bachelor's,Life Sciences,Business,Marketing Analyst,"Excel, SQL, SEO, Canva","Excel, Google Ads, SQL, Canva, SEO",2.1,"Google UX Cert, Google Data Analytics",0,1,89,Google Ads,Minimalist,"Data-curious, Side Hustler"
R055,26,Master's,Business,Business,Business Analyst,"PubMed, Research, SEO, Webflow, Canva","PubMed, Research, Webflow, SEO, Canva",1.5,"Google Data Analytics, None",1,1,94,None,Infographic,"Curious, Digital Native"
R056,24,Bachelor's,Design,Finance,Financial Analyst,"Python, Finance Modelling, Tableau, Excel, SQL","Excel, SQL, Tableau, Finance Modelling, Python",2.3,"Meta Ads, Google Data Analytics",1,1,63,None,Visual,"Fast Learner, Curious"
R057,24,Bachelor's,Business,Healthcare,Medical Writer,"PubMed, Medical Writing, Research, Literature Review, Clinical Trials","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",2.0,"Google Data Analytics, None",1,1,80,None,ATS-friendly,"Curious, Data-curious"
R058,22,Bachelor's,Design,Healthcare,Medical Writer,"Clinical Trials, Medical Writing, Literature Review, PubMed, Research","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",0.6,"Google UX Cert, Google Data Analytics",0,0,73,None,Infographic,"Curious, Side Hustler"
R059,25,Master's,Business,Healthcare,Pharma Sales Rep,"HTML, Excel","GitHub, Excel, HTML, Excel, SEO",1.5,"Google UX Cert, None",1,1,84,SEO,Minimalist,"Trend-savvy, Multi-tasker"
R060,22,Master's,Computer Science,Business,Marketing Analyst,"SEO, Excel, Google Ads, Canva, SQL","Excel, Google Ads, SQL, Canva, SEO",2.1,"Coursera SQL, Google UX Cert",0,1,93,None,Infographic,"Multi-tasker, Fast Learner"
R061,24,Bachelor's,Finance,Finance,Risk Analyst,"Photoshop, Figma, Tailwind","Literature Review, Tailwind, HTML, Photoshop, Figma",1.8,"Meta Ads, Google UX Cert",1,0,70,Literature Review,Minimalist,"Trend-savvy, Side Hustler"
R062,22,Master's,Design,Business,Sales Associate,"PubMed, HTML, React, Tableau","HTML, Finance Modelling, React, Tableau, PubMed",0.6,"Meta Ads, Coursera SQL",1,0,68,Finance Modelling,Visual,"Remote-ready, Data-curious"
R063,25,Master's,Design,Finance,Risk Analyst,"Clinical Trials, CSS, React, Webflow, Photoshop","Clinical Trials, Webflow, React, Photoshop, CSS",2.5,"Meta Ads, Coursera SQL",0,0,88,None,ATS-friendly,"Trend-savvy, Remote-ready"
R064,24,Master's,Business,Healthcare,Clinical Researcher,"Finance Modelling, Excel, Medical Writing, HTML, Canva","Canva, HTML, Finance Modelling, Excel, Medical Writing",1.2,"Google Data Analytics, Coursera SQL",0,1,70,None,Infographic,"Multi-tasker, Curious"
R065,21,Bachelor's,Business,Business,Business Analyst,"Python, Literature Review","Medical Writing, PubMed, Figma, Python, Literature Review",1.6,"Coursera SQL, Meta Ads",0,1,62,Figma,Visual,"Data-curious, Side Hustler"
R066,26,Master's,Computer Science,Design,Product Designer,"Excel, SQL, Illustrator, CSS, Research","Excel, CSS, SQL, Illustrator, Research",1.2,"Google Data Analytics, Coursera SQL",1,0,87,None,Minimalist,"Side Hustler, Data-curious"
R067,24,Bachelor's,Finance,Finance,Financial Analyst,"Tableau, SQL, Finance Modelling, Excel, Python","Excel, SQL, Tableau, Finance Modelling, Python",0.9,"Meta Ads, Google Data Analytics",0,0,68,None,Infographic,"Remote-ready, Digital Native"
R068,26,Master's,Design,Business,Sales Associate,"React, Illustrator, JavaScript, Figma","Figma, React, JavaScript, Webflow, Illustrator",1.7,"Google UX Cert, Google Data Analytics",0,1,61,Webflow,Minimalist,"Trend-savvy, Multi-tasker"
R069,21,Bachelor's,Computer Science,Design,Product Designer,"GitHub, HTML","Tableau, Figma, GitHub, HTML, Literature Review",2.5,"Google UX Cert, Meta Ads",1,1,86,Figma,ATS-friendly,"Remote-ready, Trend-savvy"
R070,26,Master's,Design,Design,UX Designer,"Excel, Tableau, Excel, Finance Modelling, Clinical Trials","Finance Modelling, Excel, Clinical Trials, Excel, Tableau",2.1,"Google Data Analytics, Coursera SQL",0,1,68,None,Infographic,"Trend-savvy, Digital Native"
R071,25,Bachelor's,Life Sciences,Healthcare,Clinical Researcher,"Research, HTML, Python, Excel","Python, Research, HTML, Excel, Tailwind",1.4,"Meta Ads, Google Data Analytics",1,1,83,Tailwind,Infographic,"Trend-savvy, Digital Native"
R072,26,Master's,Finance,Technology,Backend Developer,"Tableau, SQL, React, CSS","SQL, Tableau, CSS, SQL, React",1.2,"Coursera SQL, Google Data Analytics",0,1,66,None,ATS-friendly,"Data-curious, Remote-ready"
R073,26,Master's,Finance,Technology,Data Analyst,"GitHub, Photoshop","Tableau, Medical Writing, GitHub, SEO, Photoshop",0.6,"Google Data Analytics, None",0,0,83,SEO,Infographic,"Remote-ready, Side Hustler"
R074,25,Master's,Business,Finance,Financial Analyst,"SQL, Python","Excel, SQL, Tableau, Finance Modelling, Python",1.9,"Google UX Cert, Meta Ads",0,1,66,Finance Modelling,Visual,"Multi-tasker, Side Hustler"
R075,23,Bachelor's,Finance,Design,Visual Designer,"Photoshop, Canva","Figma, Photoshop, Illustrator, Webflow, Canva",1.0,"Meta Ads, Coursera SQL",1,0,70,Figma,Infographic,"Curious, Fast Learner"
R076,25,Master's,Finance,Finance,Investment Associate,"Literature Review, Canva, Photoshop, Clinical Trials","Tableau, Literature Review, Clinical Trials, Photoshop, Canva",0.5,"Google UX Cert, Coursera SQL",0,0,85,Tableau,ATS-friendly,"Data-curious, Fast Learner"
R077,26,Master's,Business,Healthcare,Clinical Researcher,"Photoshop, SEO","Python, Figma, SEO, Photoshop, SQL",1.0,"Coursera SQL, Meta Ads",1,0,66,Figma,Visual,"Multi-tasker, Fast Learner"
R078,24,Master's,Finance,Business,Marketing Analyst,"SQL, Excel, Google Ads","Excel, Google Ads, SQL, Canva, SEO",0.6,"Coursera SQL, None",1,1,89,SEO,ATS-friendly,"Remote-ready, Trend-savvy"
R079,25,Master's,Finance,Healthcare,Medical Writer,"Research, Medical Writing","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",2.3,"None, Coursera SQL",1,1,64,PubMed,ATS-friendly,"Side Hustler, Trend-savvy"
R080,23,Bachelor's,Finance,Business,Business Analyst,"Webflow, React, Canva, Medical Writing","Tableau, Canva, Medical Writing, React, Webflow",1.4,"Google Data Analytics, None",1,0,89,Tableau,Minimalist,"Data-curious, Trend-savvy"
R081,21,Bachelor's,Computer Science,Design,Product Designer,"Excel, HTML, Webflow, SQL, Canva","SQL, Canva, Excel, HTML, Webflow",1.3,"None, Coursera SQL",1,0,79,None,ATS-friendly,"Data-curious, Remote-ready"
R082,26,Bachelor's,Finance,Finance,Financial Analyst,"Python, Finance Modelling","Excel, SQL, Tableau, Finance Modelling, Python",0.6,"None, Coursera SQL",0,1,78,SQL,Minimalist,"Digital Native, Fast Learner"
R083,22,Master's,Life Sciences,Technology,DevOps Engineer,"Webflow, Google Ads, Photoshop, CSS","Photoshop, SEO, Webflow, Google Ads, CSS",2.0,"Meta Ads, Google Data Analytics",1,1,69,SEO,Visual,"Fast Learner, Multi-tasker"
R084,23,Bachelor's,Life Sciences,Healthcare,Pharma Sales Rep,"Canva, React, Canva, Tableau, Finance Modelling","Finance Modelling, React, Canva, Canva, Tableau",1.7,"Meta Ads, Google UX Cert",0,0,81,None,Minimalist,"Remote-ready, Multi-tasker"
R085,22,Master's,Computer Science,Technology,DevOps Engineer,"Google Ads, Excel, Illustrator, Excel, SQL","Excel, Google Ads, SQL, Illustrator, Excel",1.2,"Google UX Cert, None",1,0,78,None,ATS-friendly,"Data-curious, Curious"
R086,22,Master's,Design,Technology,Frontend Developer,"JavaScript, Tailwind, React, GitHub, HTML","HTML, CSS, JavaScript, React, Tailwind, GitHub",1.9,"Google Data Analytics, Coursera SQL",1,1,69,CSS,Infographic,"Multi-tasker, Side Hustler"
R087,22,Bachelor's,Finance,Technology,Data Analyst,"Canva, SQL","SQL, Canva, SQL, Figma, Tailwind",2.1,"Google UX Cert, None",0,1,69,Figma,Minimalist,"Curious, Digital Native"
R088,23,Bachelor's,Computer Science,Design,Visual Designer,"Canva, Webflow, Illustrator","Figma, Photoshop, Illustrator, Webflow, Canva",0.7,"Meta Ads, Coursera SQL",0,0,78,Figma,Minimalist,"Data-curious, Curious"
R089,23,Bachelor's,Design,Healthcare,Clinical Researcher,"Literature Review, JavaScript, Tableau","JavaScript, Excel, Literature Review, Tableau, Google Ads",2.7,"None, Google UX Cert",0,0,65,Excel,Visual,"Side Hustler, Remote-ready"
R090,25,Master's,Finance,Finance,Investment Associate,"Excel, Canva, React, Clinical Trials","React, Canva, Excel, Clinical Trials, Research",2.7,"Google Data Analytics, Coursera SQL",1,0,63,Research,Infographic,"Remote-ready, Trend-savvy"
R091,24,Bachelor's,Design,Finance,Risk Analyst,"CSS, React","Python, JavaScript, CSS, React, Tableau",2.7,"None, Meta Ads",1,1,64,JavaScript,Infographic,"Multi-tasker, Fast Learner"
R092,22,Master's,Business,Business,Business Analyst,"Finance Modelling, Excel","Tableau, Finance Modelling, PubMed, Excel, Google Ads",1.4,"Google UX Cert, Google Data Analytics",1,1,71,PubMed,Infographic,"Multi-tasker, Fast Learner"
R093,21,Bachelor's,Business,Healthcare,Clinical Researcher,"SEO, GitHub","GitHub, Research, SEO, Literature Review, HTML",1.4,"Google Data Analytics, None",0,0,76,Literature Review,Visual,"Data-curious, Digital Native"
R094,24,Master's,Finance,Healthcare,Clinical Researcher,"SEO, HTML","SEO, PubMed, HTML, Research, Photoshop",1.5,"Google UX Cert, Coursera SQL",0,0,54,PubMed,ATS-friendly,"Trend-savvy, Curious"
R095,23,Master's,Computer Science,Healthcare,Clinical Researcher,"Figma, Medical Writing, Literature Review","Finance Modelling, Literature Review, Excel, Figma, Medical Writing",0.8,"Google UX Cert, Meta Ads",1,0,89,Finance Modelling,Minimalist,"Digital Native, Side Hustler"
R096,22,Master's,Life Sciences,Healthcare,Pharma Sales Rep,"Excel, CSS","CSS, Python, Webflow, Canva, Excel",1.5,"Google UX Cert, Google Data Analytics",0,0,52,Webflow,Minimalist,"Side Hustler, Digital Native"
R097,21,Master's,Business,Technology,Backend Developer,"Excel, CSS","CSS, Clinical Trials, Excel, GitHub, Finance Modelling",1.6,"Google UX Cert, None",0,0,58,Finance Modelling,Infographic,"Multi-tasker, Trend-savvy"
R098,25,Bachelor's,Computer Science,Business,Sales Associate,"Python, SEO, Excel, Finance Modelling, JavaScript","JavaScript, Excel, Finance Modelling, Python, SEO",0.6,"Meta Ads, Google UX Cert",0,0,70,None,Visual,"Curious, Digital Native"
R099,21,Bachelor's,Business,Technology,DevOps Engineer,"React, Webflow","Excel, Literature Review, React, Webflow, Python",1.8,"Coursera SQL, Google UX Cert",1,0,68,Literature Review,Infographic,"Multi-tasker, Curious"
R100,21,Master's,Design,Design,UX Designer,"SQL, React, Finance Modelling","React, SQL, Finance Modelling, PubMed, Research",2.4,"Google Data Analytics, None",0,1,79,PubMed,ATS-friendly,"Digital Native, Data-curious"
R101,21,Bachelor's,Computer Science,Healthcare,Medical Writer,"Literature Review, Research, Medical Writing","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",2.8,"Meta Ads, Google Data Analytics",0,0,60,PubMed,Infographic,"Fast Learner, Digital Native"
R102,24,Bachelor's,Finance,Business,Business Analyst,"PubMed, React, SQL, Finance Modelling, Tableau","Finance Modelling, Tableau, React, SQL, PubMed",2.4,"None, Google Data Analytics",0,1,93,None,Minimalist,"Side Hustler, Digital Native"
R103,23,Master's,Design,Business,Marketing Analyst,"SEO, Excel, SQL, Google Ads","Excel, Google Ads, SQL, Canva, SEO",2.3,"Google Data Analytics, None",0,0,84,Canva,Visual,"Curious, Multi-tasker"
R104,23,Bachelor's,Finance,Finance,Investment Associate,"SQL, Photoshop, Google Ads, Finance Modelling, Tailwind","Tailwind, Photoshop, Google Ads, SQL, Finance Modelling",2.0,"Coursera SQL, Google Data Analytics",0,1,90,None,Minimalist,"Digital Native, Curious"
R105,26,Bachelor's,Finance,Design,Product Designer,"Medical Writing, CSS, Tailwind, PubMed","Tailwind, CSS, Medical Writing, HTML, PubMed",2.1,"Google UX Cert, Meta Ads",1,1,78,HTML,Visual,"Curious, Remote-ready"
R106,26,Bachelor's,Computer Science,Technology,Frontend Developer,"JavaScript, CSS","HTML, CSS, JavaScript, React, Tailwind, GitHub",2.6,"Google Data Analytics, Meta Ads",0,0,55,React,Minimalist,"Side Hustler, Multi-tasker"
R107,26,Master's,Design,Finance,Risk Analyst,"CSS, Medical Writing","Canva, Figma, CSS, SEO, Medical Writing",1.0,"Coursera SQL, Google UX Cert",0,0,80,Figma,ATS-friendly,"Remote-ready, Data-curious"
R108,22,Master's,Computer Science,Finance,Investment Associate,"Excel, SEO, CSS, JavaScript","Figma, SEO, CSS, Excel, JavaScript",1.6,"Meta Ads, Google Data Analytics",1,0,62,Figma,ATS-friendly,"Multi-tasker, Trend-savvy"
R109,21,Bachelor's,Design,Technology,Data Analyst,"SQL, SEO","SQL, Clinical Trials, Google Ads, SEO, Excel",0.7,"None, Google UX Cert",1,0,63,Clinical Trials,Infographic,"Fast Learner, Trend-savvy"
R110,21,Bachelor's,Design,Technology,Data Analyst,"Research, JavaScript","SEO, Excel, HTML, Research, JavaScript",0.9,"Coursera SQL, Google UX Cert",1,1,59,Excel,Minimalist,"Trend-savvy, Data-curious"
R111,21,Bachelor's,Finance,Finance,Financial Analyst,"SQL, Tableau","Excel, SQL, Tableau, Finance Modelling, Python",0.5,"None, Meta Ads",1,1,68,Finance Modelling,ATS-friendly,"Curious, Digital Native"
R112,25,Master's,Computer Science,Healthcare,Medical Writer,"Clinical Trials, Research","Medical Writing, PubMed, Literature Review, Clinical Trials, Research",1.5,"Google UX Cert, Meta Ads",0,1,77,PubMed,ATS-friendly,"Data-curious, Curious"
R113,24,Master's,Life Sciences,Finance,Financial Analyst,"Finance Modelling, Python, Tableau, SQL","Excel, SQL, Tableau, Finance Modelling, Python",1.2,"Coursera SQL, Meta Ads",0,1,69,Excel,Infographic,"Fast Learner, Multi-tasker"
R114,24,Bachelor's,Business,Technology,Frontend Developer,"Tailwind, React, JavaScript, CSS, HTML","HTML, CSS, JavaScript, React, Tailwind, GitHub",2.2,"Meta Ads, Google UX Cert",0,1,77,GitHub,ATS-friendly,"Data-curious, Side Hustler"
R115,26,Bachelor's,Finance,Finance,Investment Associate,"SQL, Clinical Trials, Python, PubMed","PubMed, Tableau, SQL, Python, Clinical Trials",2.0,"None, Coursera SQL",1,1,77,Tableau,Infographic,"Side Hustler, Remote-ready"
